IUCN Category,Species,Country,Unit,PowerCode,Value
Total number of indigenous threatened species,Fish,Netherlands,Number,Units,23
Total number of indigenous threatened species,Marine Fish,Netherlands,Number,Units,10
Total number of indigenous threatened species,Freshwater Fish,Netherlands,Number,Units,13
Threatened species as % of known species,Mammals,Netherlands,Percentage,Units,20.755
Threatened species as % of known species,Birds,Netherlands,Percentage,Units,23.81
Threatened species as % of known species,Reptiles,Netherlands,Percentage,Units,71.429
Threatened species as % of known species,Amphibians,Netherlands,Percentage,Units,43.75
Threatened species as % of known species,Vascular plants,Netherlands,Percentage,Units,25.52
Threatened species as % of known species,Fish,Netherlands,Percentage,Units,23.711
Threatened species as % of known species,Marine Fish,Netherlands,Percentage,Units,17.544
Threatened species as % of known species,Freshwater Fish,Netherlands,Percentage,Units,32.5
Threatened indigenous species as % of indigenous spec.,Fish,Netherlands,Percentage,Units,23.711
Threatened indigenous species as % of indigenous spec.,Marine Fish,Netherlands,Percentage,Units,17.544
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Netherlands,Percentage,Units,32.5
Total number of known species,Freshwater Fish,New Zealand,Number,Units,75
Total number of indigenous known species,Freshwater Fish,New Zealand,Number,Units,54
Number of endangered indigenous species,Freshwater Fish,New Zealand,Number,Units,6
Number of critically endangered indigenous species,Freshwater Fish,New Zealand,Number,Units,4
Number of vulnerable indigenous species,Freshwater Fish,New Zealand,Number,Units,12
Total number of indigenous threatened species,Mammals,New Zealand,Number,Units,10
Total number of indigenous threatened species,Birds,New Zealand,Number,Units,65
Total number of indigenous threatened species,Reptiles,New Zealand,Number,Units,37
Total number of indigenous threatened species,Amphibians,New Zealand,Number,Units,1
Total number of indigenous threatened species,Vascular plants,New Zealand,Number,Units,328
Total number of indigenous threatened species,Freshwater Fish,New Zealand,Number,Units,22
Threatened indigenous species as % of indigenous spec.,Mammals,New Zealand,Percentage,Units,27.027
Threatened indigenous species as % of indigenous spec.,Birds,New Zealand,Percentage,Units,29.954
Threatened indigenous species as % of indigenous spec.,Reptiles,New Zealand,Percentage,Units,34.906
Threatened indigenous species as % of indigenous spec.,Amphibians,New Zealand,Percentage,Units,25
Threatened indigenous species as % of indigenous spec.,Vascular plants,New Zealand,Percentage,Units,13.199
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,New Zealand,Percentage,Units,40.741
Total number of known species,Fish,Norway,Number,Units,312
Total number of known species,Marine Fish,Norway,Number,Units,285
Total number of known species,Freshwater Fish,Norway,Number,Units,47
Total number of indigenous known species,Fish,Norway,Number,Units,196
Total number of indigenous known species,Marine Fish,Norway,Number,Units,164
Total number of indigenous known species,Freshwater Fish,Norway,Number,Units,32
Number of endangered species,Fish,Norway,Number,Units,4
Number of endangered species,Marine Fish,Norway,Number,Units,4
Number of critically endangered species,Fish,Norway,Number,Units,1
Number of critically endangered species,Marine Fish,Norway,Number,Units,1
Number of vulnerable species,Fish,Norway,Number,Units,2
Number of vulnerable species,Marine Fish,Norway,Number,Units,2
Total number of threatened species,Fish,Norway,Number,Units,7
Total number of threatened species,Marine Fish,Norway,Number,Units,7
Number of endangered indigenous species,Fish,Norway,Number,Units,4
Number of endangered indigenous species,Marine Fish,Norway,Number,Units,4
Number of critically endangered indigenous species,Fish,Norway,Number,Units,1
Number of critically endangered indigenous species,Marine Fish,Norway,Number,Units,1
Number of vulnerable indigenous species,Fish,Norway,Number,Units,2
Number of vulnerable indigenous species,Marine Fish,Norway,Number,Units,2
Total number of indigenous threatened species,Mammals,Norway,Number,Units,17
Total number of indigenous threatened species,Birds,Norway,Number,Units,46
Total number of indigenous threatened species,Amphibians,Norway,Number,Units,1
Total number of indigenous threatened species,Vascular plants,Norway,Number,Units,246
Total number of indigenous threatened species,Fish,Norway,Number,Units,7
Total number of indigenous threatened species,Marine Fish,Norway,Number,Units,7
Threatened species as % of known species,Mammals,Norway,Percentage,Units,19.101
Threatened species as % of known species,Birds,Norway,Percentage,Units,17.424
Threatened species as % of known species,Amphibians,Norway,Percentage,Units,16.667
Threatened species as % of known species,Vascular plants,Norway,Percentage,Units,7.586
Threatened species as % of known species,Fish,Norway,Percentage,Units,2.244
Threatened species as % of known species,Marine Fish,Norway,Percentage,Units,2.456
Threatened indigenous species as % of indigenous spec.,Mammals,Norway,Percentage,Units,23.288
Threatened indigenous species as % of indigenous spec.,Birds,Norway,Percentage,Units,19.828
Threatened indigenous species as % of indigenous spec.,Amphibians,Norway,Percentage,Units,16.667
Threatened indigenous species as % of indigenous spec.,Vascular plants,Norway,Percentage,Units,18.128
Threatened indigenous species as % of indigenous spec.,Fish,Norway,Percentage,Units,3.571
Threatened indigenous species as % of indigenous spec.,Marine Fish,Norway,Percentage,Units,4.268
Total number of known species,Fish,Poland,Number,Units,138
Total number of known species,Marine Fish,Poland,Number,Units,50
Total number of known species,Freshwater Fish,Poland,Number,Units,70
Total number of indigenous known species,Fish,Poland,Number,Units,104
Total number of indigenous known species,Marine Fish,Poland,Number,Units,49
Total number of indigenous known species,Freshwater Fish,Poland,Number,Units,65
Number of endangered species,Fish,Poland,Number,Units,15
Number of endangered species,Marine Fish,Poland,Number,Units,9
Number of endangered species,Freshwater Fish,Poland,Number,Units,5
Number of critically endangered species,Fish,Poland,Number,Units,7
Number of critically endangered species,Freshwater Fish,Poland,Number,Units,5
Number of vulnerable species,Fish,Poland,Number,Units,7
Number of vulnerable species,Freshwater Fish,Poland,Number,Units,14
Total number of threatened species,Fish,Poland,Number,Units,29
Total number of threatened species,Marine Fish,Poland,Number,Units,9
Total number of threatened species,Freshwater Fish,Poland,Number,Units,24
Number of endangered indigenous species,Fish,Poland,Number,Units,15
Number of endangered indigenous species,Marine Fish,Poland,Number,Units,9
Number of endangered indigenous species,Freshwater Fish,Poland,Number,Units,5
Number of critically endangered indigenous species,Fish,Poland,Number,Units,7
Number of critically endangered indigenous species,Freshwater Fish,Poland,Number,Units,5
Number of vulnerable indigenous species,Fish,Poland,Number,Units,7
Number of vulnerable indigenous species,Freshwater Fish,Poland,Number,Units,14
Total number of indigenous threatened species,Mammals,Poland,Number,Units,13
Total number of indigenous threatened species,Birds,Poland,Number,Units,34
Total number of indigenous threatened species,Reptiles,Poland,Number,Units,3
Total number of indigenous threatened species,Vascular plants,Poland,Number,Units,428
Total number of indigenous threatened species,Fish,Poland,Number,Units,29
Total number of indigenous threatened species,Marine Fish,Poland,Number,Units,9
Total number of indigenous threatened species,Freshwater Fish,Poland,Number,Units,24
Threatened species as % of known species,Mammals,Poland,Percentage,Units,11.607
Threatened species as % of known species,Birds,Poland,Percentage,Units,7.539
Threatened species as % of known species,Reptiles,Poland,Percentage,Units,27.273
Threatened species as % of known species,Vascular plants,Poland,Percentage,Units,15.808
Threatened species as % of known species,Fish,Poland,Percentage,Units,21.014
Threatened species as % of known species,Marine Fish,Poland,Percentage,Units,18
Threatened species as % of known species,Freshwater Fish,Poland,Percentage,Units,34.286
Threatened indigenous species as % of indigenous spec.,Mammals,Poland,Percentage,Units,13
Threatened indigenous species as % of indigenous spec.,Birds,Poland,Percentage,Units,7.64
Threatened indigenous species as % of indigenous spec.,Reptiles,Poland,Percentage,Units,33.333
Threatened indigenous species as % of indigenous spec.,Vascular plants,Poland,Percentage,Units,16.89
Threatened indigenous species as % of indigenous spec.,Fish,Poland,Percentage,Units,27.885
Threatened indigenous species as % of indigenous spec.,Marine Fish,Poland,Percentage,Units,18.367
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Poland,Percentage,Units,36.923
Total number of known species,Fish,Portugal,Number,Units,65
Total number of indigenous known species,Fish,Portugal,Number,Units,35
Number of endangered species,Fish,Portugal,Number,Units,10
Number of critically endangered species,Fish,Portugal,Number,Units,8
Number of vulnerable species,Fish,Portugal,Number,Units,4
Total number of threatened species,Fish,Portugal,Number,Units,22
Number of endangered indigenous species,Fish,Portugal,Number,Units,10
Number of critically endangered indigenous species,Fish,Portugal,Number,Units,8
Number of vulnerable indigenous species,Fish,Portugal,Number,Units,4
Total number of indigenous threatened species,Mammals,Portugal,Number,Units,31
Total number of indigenous threatened species,Birds,Portugal,Number,Units,111
Total number of indigenous threatened species,Reptiles,Portugal,Number,Units,10
Total number of indigenous threatened species,Amphibians,Portugal,Number,Units,2
Total number of indigenous threatened species,Fish,Portugal,Number,Units,22
Threatened species as % of known species,Mammals,Portugal,Percentage,Units,19.62
Threatened species as % of known species,Birds,Portugal,Percentage,Units,28.244
Threatened species as % of known species,Reptiles,Portugal,Percentage,Units,20.408
Threatened species as % of known species,Amphibians,Portugal,Percentage,Units,10
Threatened species as % of known species,Fish,Portugal,Percentage,Units,33.846
Threatened indigenous species as % of indigenous spec.,Mammals,Portugal,Percentage,Units,28.704
Threatened indigenous species as % of indigenous spec.,Birds,Portugal,Percentage,Units,30.663
Threatened indigenous species as % of indigenous spec.,Reptiles,Portugal,Percentage,Units,31.25
Threatened indigenous species as % of indigenous spec.,Amphibians,Portugal,Percentage,Units,11.765
Threatened indigenous species as % of indigenous spec.,Fish,Portugal,Percentage,Units,62.857
Total number of known species,Freshwater Fish,Slovak Republic,Number,Units,79
Total number of indigenous known species,Freshwater Fish,Slovak Republic,Number,Units,63
Number of endangered species,Freshwater Fish,Slovak Republic,Number,Units,6
Number of vulnerable species,Freshwater Fish,Slovak Republic,Number,Units,6
Total number of threatened species,Freshwater Fish,Slovak Republic,Number,Units,12
Number of endangered indigenous species,Freshwater Fish,Slovak Republic,Number,Units,6
Number of vulnerable indigenous species,Freshwater Fish,Slovak Republic,Number,Units,6
Total number of indigenous threatened species,Mammals,Slovak Republic,Number,Units,20
Total number of indigenous threatened species,Birds,Slovak Republic,Number,Units,51
Total number of indigenous threatened species,Reptiles,Slovak Republic,Number,Units,5
Total number of indigenous threatened species,Amphibians,Slovak Republic,Number,Units,8
Total number of indigenous threatened species,Freshwater Fish,Slovak Republic,Number,Units,12
Threatened species as % of known species,Mammals,Slovak Republic,Percentage,Units,22.222
Threatened species as % of known species,Birds,Slovak Republic,Percentage,Units,24.171
Threatened species as % of known species,Reptiles,Slovak Republic,Percentage,Units,41.667
Threatened species as % of known species,Amphibians,Slovak Republic,Percentage,Units,44.444
Threatened species as % of known species,Vascular plants,Slovak Republic,Percentage,Units,14.562
Threatened species as % of known species,Freshwater Fish,Slovak Republic,Percentage,Units,15.19
Threatened indigenous species as % of indigenous spec.,Mammals,Slovak Republic,Percentage,Units,23.529
Threatened indigenous species as % of indigenous spec.,Reptiles,Slovak Republic,Percentage,Units,41.667
Threatened indigenous species as % of indigenous spec.,Amphibians,Slovak Republic,Percentage,Units,44.444
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Slovak Republic,Percentage,Units,19.048
Total number of known species,Freshwater Fish,Spain,Number,Units,92
Number of endangered species,Freshwater Fish,Spain,Number,Units,10
Number of critically endangered species,Freshwater Fish,Spain,Number,Units,10
Number of vulnerable species,Freshwater Fish,Spain,Number,Units,24
Total number of threatened species,Freshwater Fish,Spain,Number,Units,44
Number of endangered indigenous species,Freshwater Fish,Spain,Number,Units,10
Number of critically endangered indigenous species,Freshwater Fish,Spain,Number,Units,10
Number of vulnerable indigenous species,Freshwater Fish,Spain,Number,Units,24
Total number of indigenous threatened species,Mammals,Spain,Number,Units,19
Total number of indigenous threatened species,Birds,Spain,Number,Units,114
Total number of indigenous threatened species,Reptiles,Spain,Number,Units,34
Total number of indigenous threatened species,Amphibians,Spain,Number,Units,14
Total number of indigenous threatened species,Vascular plants,Spain,Number,Units,1263
Total number of indigenous threatened species,Freshwater Fish,Spain,Number,Units,44
Threatened species as % of known species,Mammals,Spain,Percentage,Units,16.667
Threatened species as % of known species,Birds,Spain,Percentage,Units,19.621
Threatened species as % of known species,Reptiles,Spain,Percentage,Units,36.957
Threatened species as % of known species,Amphibians,Spain,Percentage,Units,38.889
Threatened species as % of known species,Vascular plants,Spain,Percentage,Units,17.874
Threatened species as % of known species,Freshwater Fish,Spain,Percentage,Units,47.826
Total number of known species,Fish,Sweden,Number,Units,141
Total number of indigenous known species,Fish,Sweden,Number,Units,141
Number of endangered species,Fish,Sweden,Number,Units,6
Number of critically endangered species,Fish,Sweden,Number,Units,6
Number of vulnerable species,Fish,Sweden,Number,Units,8
Total number of threatened species,Fish,Sweden,Number,Units,20
Number of endangered indigenous species,Fish,Sweden,Number,Units,6
Number of critically endangered indigenous species,Fish,Sweden,Number,Units,6
Number of vulnerable indigenous species,Fish,Sweden,Number,Units,8
Total number of indigenous threatened species,Mammals,Sweden,Number,Units,14
Total number of indigenous threatened species,Birds,Sweden,Number,Units,52
Total number of indigenous threatened species,Reptiles,Sweden,Number,Units,2
Total number of indigenous threatened species,Amphibians,Sweden,Number,Units,5
Total number of indigenous threatened species,Fish,Sweden,Number,Units,20
Threatened species as % of known species,Mammals,Sweden,Percentage,Units,21.538
Threatened species as % of known species,Birds,Sweden,Percentage,Units,20.233
Threatened species as % of known species,Reptiles,Sweden,Percentage,Units,33.333
Threatened species as % of known species,Amphibians,Sweden,Percentage,Units,38.462
Threatened species as % of known species,Vascular plants,Sweden,Percentage,Units,17.297
Threatened species as % of known species,Fish,Sweden,Percentage,Units,14.184
Threatened indigenous species as % of indigenous spec.,Mammals,Sweden,Percentage,Units,21.538
Threatened indigenous species as % of indigenous spec.,Birds,Sweden,Percentage,Units,20.233
Threatened indigenous species as % of indigenous spec.,Reptiles,Sweden,Percentage,Units,33.333
Threatened indigenous species as % of indigenous spec.,Amphibians,Sweden,Percentage,Units,38.462
Threatened indigenous species as % of indigenous spec.,Fish,Sweden,Percentage,Units,14.184
Total number of known species,Fish,Switzerland,Number,Units,70
Total number of known species,Freshwater Fish,Switzerland,Number,Units,70
Total number of indigenous known species,Fish,Switzerland,Number,Units,55
Total number of indigenous known species,Freshwater Fish,Switzerland,Number,Units,55
Number of endangered indigenous species,Fish,Switzerland,Number,Units,5
Number of endangered indigenous species,Freshwater Fish,Switzerland,Number,Units,5
Number of critically endangered indigenous species,Fish,Switzerland,Number,Units,6
Number of critically endangered indigenous species,Freshwater Fish,Switzerland,Number,Units,6
Number of vulnerable indigenous species,Fish,Switzerland,Number,Units,13
Number of vulnerable indigenous species,Freshwater Fish,Switzerland,Number,Units,13
Total number of indigenous threatened species,Mammals,Switzerland,Number,Units,34
Total number of indigenous threatened species,Birds,Switzerland,Number,Units,71
Total number of indigenous threatened species,Reptiles,Switzerland,Number,Units,15
Total number of indigenous threatened species,Amphibians,Switzerland,Number,Units,13
Total number of indigenous threatened species,Vascular plants,Switzerland,Number,Units,670
Total number of indigenous threatened species,Fish,Switzerland,Number,Units,24
Total number of indigenous threatened species,Freshwater Fish,Switzerland,Number,Units,24
Threatened indigenous species as % of indigenous spec.,Mammals,Switzerland,Percentage,Units,41.975
Threatened indigenous species as % of indigenous spec.,Birds,Switzerland,Percentage,Units,35.678
Threatened indigenous species as % of indigenous spec.,Reptiles,Switzerland,Percentage,Units,78.947
Threatened indigenous species as % of indigenous spec.,Amphibians,Switzerland,Percentage,Units,72.222
Threatened indigenous species as % of indigenous spec.,Vascular plants,Switzerland,Percentage,Units,25.641
Threatened indigenous species as % of indigenous spec.,Fish,Switzerland,Percentage,Units,43.636
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Switzerland,Percentage,Units,43.636
Total number of known species,Fish,Turkey,Number,Units,716
Total number of known species,Marine Fish,Turkey,Number,Units,480
Total number of known species,Freshwater Fish,Turkey,Number,Units,236
Threatened species as % of known species,Mammals,Turkey,Percentage,Units,14.286
Threatened species as % of known species,Birds,Turkey,Percentage,Units,3.696
Threatened species as % of known species,Amphibians,Turkey,Percentage,Units,7.092
Threatened species as % of known species,Vascular plants,Turkey,Percentage,Units,10.951
Total number of known species,Fish,United Kingdom,Number,Units,622
Number of endangered species,Freshwater Fish,United Kingdom,Number,Units,3
Number of vulnerable species,Freshwater Fish,United Kingdom,Number,Units,1
Total number of threatened species,Freshwater Fish,United Kingdom,Number,Units,4
Number of endangered indigenous species,Fish,United Kingdom,Number,Units,11
Number of endangered indigenous species,Freshwater Fish,United Kingdom,Number,Units,1
Number of critically endangered indigenous species,Fish,United Kingdom,Number,Units,7
Number of vulnerable indigenous species,Fish,United Kingdom,Number,Units,24
Total number of indigenous threatened species,Mammals,United Kingdom,Number,Units,11
Total number of indigenous threatened species,Birds,United Kingdom,Number,Units,134
Total number of indigenous threatened species,Vascular plants,United Kingdom,Number,Units,826
Total number of indigenous threatened species,Fish,United Kingdom,Number,Units,42
Total number of indigenous threatened species,Freshwater Fish,United Kingdom,Number,Units,1
Threatened species as % of known species,Vascular plants,United Kingdom,Percentage,Units,18.106
Total number of known species,Freshwater Fish,United States,Number,Units,882
Total number of indigenous known species,Freshwater Fish,United States,Number,Units,808
Number of endangered species,Freshwater Fish,United States,Number,Units,72
Number of critically endangered species,Freshwater Fish,United States,Number,Units,99
Number of vulnerable species,Freshwater Fish,United States,Number,Units,109
Total number of threatened species,Freshwater Fish,United States,Number,Units,280
Number of endangered indigenous species,Freshwater Fish,United States,Number,Units,71
Number of critically endangered indigenous species,Freshwater Fish,United States,Number,Units,98
Number of vulnerable indigenous species,Freshwater Fish,United States,Number,Units,109
Total number of indigenous threatened species,Mammals,United States,Number,Units,76
Total number of indigenous threatened species,Birds,United States,Number,Units,97
Total number of indigenous threatened species,Reptiles,United States,Number,Units,61
Total number of indigenous threatened species,Amphibians,United States,Number,Units,109
Total number of indigenous threatened species,Vascular plants,United States,Number,Units,5366
Total number of indigenous threatened species,Freshwater Fish,United States,Number,Units,278
Threatened species as % of known species,Mammals,United States,Percentage,Units,17.219
Threatened species as % of known species,Birds,United States,Percentage,Units,12.154
Threatened species as % of known species,Reptiles,United States,Percentage,Units,17.971
Threatened species as % of known species,Amphibians,United States,Percentage,Units,40.37
Threatened species as % of known species,Vascular plants,United States,Percentage,Units,27.467
Threatened species as % of known species,Freshwater Fish,United States,Percentage,Units,31.746
Threatened indigenous species as % of indigenous spec.,Mammals,United States,Percentage,Units,17.757
Threatened indigenous species as % of indigenous spec.,Birds,United States,Percentage,Units,12.663
Threatened indigenous species as % of indigenous spec.,Reptiles,United States,Percentage,Units,20.266
Threatened indigenous species as % of indigenous spec.,Amphibians,United States,Percentage,Units,41.923
Threatened indigenous species as % of indigenous spec.,Vascular plants,United States,Percentage,Units,32.963
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,United States,Percentage,Units,34.406
Total number of indigenous known species,Fish,Chile,Number,Units,1226
Total number of indigenous known species,Marine Fish,Chile,Number,Units,1182
Total number of indigenous known species,Freshwater Fish,Chile,Number,Units,44
Number of endangered species,Fish,Chile,Number,Units,23
Number of endangered species,Freshwater Fish,Chile,Number,Units,23
Number of vulnerable species,Fish,Chile,Number,Units,14
Number of vulnerable species,Marine Fish,Chile,Number,Units,1
Number of vulnerable species,Freshwater Fish,Chile,Number,Units,13
Total number of threatened species,Fish,Chile,Number,Units,38
Total number of threatened species,Marine Fish,Chile,Number,Units,1
Total number of threatened species,Freshwater Fish,Chile,Number,Units,37
Number of endangered indigenous species,Fish,Chile,Number,Units,23
Number of endangered indigenous species,Freshwater Fish,Chile,Number,Units,23
Number of vulnerable indigenous species,Fish,Chile,Number,Units,14
Number of vulnerable indigenous species,Marine Fish,Chile,Number,Units,1
Number of vulnerable indigenous species,Freshwater Fish,Chile,Number,Units,13
Total number of indigenous threatened species,Mammals,Chile,Number,Units,36
Total number of indigenous threatened species,Birds,Chile,Number,Units,45
Total number of indigenous threatened species,Reptiles,Chile,Number,Units,52
Total number of indigenous threatened species,Amphibians,Chile,Number,Units,44
Total number of indigenous threatened species,Vascular plants,Chile,Number,Units,418
Total number of indigenous threatened species,Fish,Chile,Number,Units,38
Total number of indigenous threatened species,Marine Fish,Chile,Number,Units,1
Total number of indigenous threatened species,Freshwater Fish,Chile,Number,Units,37
Threatened species as % of known species,Mammals,Chile,Percentage,Units,20.571
Threatened species as % of known species,Birds,Chile,Percentage,Units,9.036
Threatened species as % of known species,Reptiles,Chile,Percentage,Units,39.695
Threatened species as % of known species,Amphibians,Chile,Percentage,Units,67.692
Threatened indigenous species as % of indigenous spec.,Mammals,Chile,Percentage,Units,22.222
Threatened indigenous species as % of indigenous spec.,Birds,Chile,Percentage,Units,9.146
Threatened indigenous species as % of indigenous spec.,Reptiles,Chile,Percentage,Units,42.623
Threatened indigenous species as % of indigenous spec.,Amphibians,Chile,Percentage,Units,68.75
Threatened indigenous species as % of indigenous spec.,Fish,Chile,Percentage,Units,3.1
Threatened indigenous species as % of indigenous spec.,Marine Fish,Chile,Percentage,Units,0.085
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Chile,Percentage,Units,84.091
Total number of known species,Fish,Estonia,Number,Units,85
Total number of known species,Marine Fish,Estonia,Number,Units,64
Total number of known species,Freshwater Fish,Estonia,Number,Units,41
Total number of indigenous known species,Fish,Estonia,Number,Units,65
Total number of indigenous known species,Marine Fish,Estonia,Number,Units,54
Total number of indigenous known species,Freshwater Fish,Estonia,Number,Units,38
Number of endangered species,Fish,Estonia,Number,Units,1
Number of critically endangered species,Fish,Estonia,Number,Units,4
Number of critically endangered species,Marine Fish,Estonia,Number,Units,2
Number of critically endangered species,Freshwater Fish,Estonia,Number,Units,4
Number of vulnerable species,Fish,Estonia,Number,Units,1
Number of vulnerable species,Freshwater Fish,Estonia,Number,Units,1
Total number of threatened species,Fish,Estonia,Number,Units,6
Total number of threatened species,Marine Fish,Estonia,Number,Units,2
Total number of threatened species,Freshwater Fish,Estonia,Number,Units,5
Number of endangered indigenous species,Fish,Estonia,Number,Units,1
Number of critically endangered indigenous species,Fish,Estonia,Number,Units,4
Number of critically endangered indigenous species,Marine Fish,Estonia,Number,Units,2
Number of critically endangered indigenous species,Freshwater Fish,Estonia,Number,Units,4
Number of vulnerable indigenous species,Fish,Estonia,Number,Units,1
Number of vulnerable indigenous species,Freshwater Fish,Estonia,Number,Units,1
Total number of indigenous threatened species,Mammals,Estonia,Number,Units,2
Total number of indigenous threatened species,Birds,Estonia,Number,Units,38
Total number of indigenous threatened species,Reptiles,Estonia,Number,Units,1
Total number of indigenous threatened species,Amphibians,Estonia,Number,Units,4
Total number of indigenous threatened species,Vascular plants,Estonia,Number,Units,178
Total number of indigenous threatened species,Fish,Estonia,Number,Units,6
Total number of indigenous threatened species,Marine Fish,Estonia,Number,Units,2
Total number of indigenous threatened species,Freshwater Fish,Estonia,Number,Units,5
Threatened species as % of known species,Mammals,Estonia,Percentage,Units,3.077
Threatened species as % of known species,Birds,Estonia,Percentage,Units,10.08
Threatened species as % of known species,Reptiles,Estonia,Percentage,Units,50
Threatened species as % of known species,Amphibians,Estonia,Percentage,Units,44.444
Threatened species as % of known species,Vascular plants,Estonia,Percentage,Units,9.388
Threatened species as % of known species,Fish,Estonia,Percentage,Units,7.059
Threatened species as % of known species,Marine Fish,Estonia,Percentage,Units,3.125
Threatened species as % of known species,Freshwater Fish,Estonia,Percentage,Units,12.195
Threatened indigenous species as % of indigenous spec.,Mammals,Estonia,Percentage,Units,3.279
Threatened indigenous species as % of indigenous spec.,Birds,Estonia,Percentage,Units,10.27
Threatened indigenous species as % of indigenous spec.,Reptiles,Estonia,Percentage,Units,50
Threatened indigenous species as % of indigenous spec.,Amphibians,Estonia,Percentage,Units,50
Threatened indigenous species as % of indigenous spec.,Vascular plants,Estonia,Percentage,Units,13.333
Threatened indigenous species as % of indigenous spec.,Fish,Estonia,Percentage,Units,9.231
Threatened indigenous species as % of indigenous spec.,Marine Fish,Estonia,Percentage,Units,3.704
Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Estonia,Percentage,Units,13.158
Total number of indigenous threatened species,Mammals,Israel,Number,Units,61
Total number of indigenous threatened species,Reptiles,Israel,Number,Units,35
Threatened indigenous species as % of indigenous spec.,Mammals,Israel,Percentage,Units,58.095
Threatened indigenous species as % of indigenous spec.,Reptiles,Israel,Percentage,Units,33.333
Total number of known species,Freshwater Fish,Russia,Number,Units,277
Total number of threatened species,Freshwater Fish,Russia,Number,Units,34
Threatened species as % of known species,Mammals,Russia,Percentage,Units,12.5
Threatened species as % of known species,Birds,Russia,Percentage,Units,7.65
Threatened species as % of known species,Reptiles,Russia,Percentage,Units,12
Threatened species as % of known species,Amphibians,Russia,Percentage,Units,18.519
Threatened species as % of known species,Vascular plants,Russia,Percentage,Units,1.763
Threatened species as % of known species,Freshwater Fish,Russia,Percentage,Units,12.274
Total number of known species,Fish,Slovenia,Number,Units,273
Total number of known species,Marine Fish,Slovenia,Number,Units,188
Total number of known species,Freshwater Fish,Slovenia,Number,Units,85
Number of endangered species,Fish,Slovenia,Number,Units,40
Number of endangered species,Marine Fish,Slovenia,Number,Units,9
Number of endangered species,Freshwater Fish,Slovenia,Number,Units,31
Number of vulnerable species,Fish,Slovenia,Number,Units,10
Number of vulnerable species,Marine Fish,Slovenia,Number,Units,1
Number of vulnerable species,Freshwater Fish,Slovenia,Number,Units,9
Total number of threatened species,Fish,Slovenia,Number,Units,50
Total number of threatened species,Marine Fish,Slovenia,Number,Units,10
Total number of threatened species,Freshwater Fish,Slovenia,Number,Units,40
Number of endangered indigenous species,Fish,Slovenia,Number,Units,40
Number of endangered indigenous species,Marine Fish,Slovenia,Number,Units,9
Number of endangered indigenous species,Freshwater Fish,Slovenia,Number,Units,31
Number of vulnerable indigenous species,Fish,Slovenia,Number,Units,10
Number of vulnerable indigenous species,Marine Fish,Slovenia,Number,Units,1
Number of vulnerable indigenous species,Freshwater Fish,Slovenia,Number,Units,9
Total number of indigenous threatened species,Mammals,Slovenia,Number,Units,34
Total number of indigenous threatened species,Birds,Slovenia,Number,Units,105
Total number of indigenous threatened species,Reptiles,Slovenia,Number,Units,18
Total number of indigenous threatened species,Amphibians,Slovenia,Number,Units,17
Total number of indigenous threatened species,Vascular plants,Slovenia,Number,Units,334
Total number of indigenous threatened species,Fish,Slovenia,Number,Units,50
Total number of indigenous threatened species,Marine Fish,Slovenia,Number,Units,10
Total number of indigenous threatened species,Freshwater Fish,Slovenia,Number,Units,40
Threatened species as % of known species,Mammals,Slovenia,Percentage,Units,38.202
Threatened species as % of known species,Birds,Slovenia,Percentage,Units,27.632
Threatened species as % of known species,Reptiles,Slovenia,Percentage,Units,75
Threatened species as % of known species,Amphibians,Slovenia,Percentage,Units,80.952
Threatened species as % of known species,Vascular plants,Slovenia,Percentage,Units,9.676
Threatened species as % of known species,Fish,Slovenia,Percentage,Units,18.315
Threatened species as % of known species,Marine Fish,Slovenia,Percentage,Units,5.319
Threatened species as % of known species,Freshwater Fish,Slovenia,Percentage,Units,47.059
Threatened indigenous species as % of indigenous spec.,Birds,Slovenia,Percentage,Units,28.767
Threatened indigenous species as % of indigenous spec.,Reptiles,Slovenia,Percentage,Units,75
Threatened indigenous species as % of indigenous spec.,Amphibians,Slovenia,Percentage,Units,80.952
Threatened indigenous species as % of indigenous spec.,Vascular plants,Slovenia,Percentage,Units,10.709
Total number of indigenous known species,Vascular plants,Chile,Number,Units,5670
Number of critically endangered species,Mammals,Chile,Number,Units,3
Number of critically endangered species,Amphibians,Chile,Number,Units,10
Number of critically endangered species,Vascular plants,Chile,Number,Units,71
Number of critically endangered species,Fish,Chile,Number,Units,1
Number of critically endangered species,Freshwater Fish,Chile,Number,Units,1
Number of critically endangered indigenous species,Mammals,Chile,Number,Units,3
Number of critically endangered indigenous species,Amphibians,Chile,Number,Units,10
Number of critically endangered indigenous species,Vascular plants,Chile,Number,Units,71
Number of critically endangered indigenous species,Fish,Chile,Number,Units,1
Number of critically endangered indigenous species,Freshwater Fish,Chile,Number,Units,1
Threatened indigenous species as % of indigenous spec.,Vascular plants,Chile,Percentage,Units,7.372
Total number of known species,Fish,France,Number,Units,69
Number of endangered species,Fish,Italy,Number,Units,12
