Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2005,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1268.0
2006,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1254.8
2007,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1223.0
2008,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1210.9
2009,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1026.0
2010,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,912.3
2011,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,859.7
2012,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,863.0
2013,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,873.5
2014,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,662.3
2015,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,676.0
2016,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,659.4
2017,Austria,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,695.6
2000,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4744.0
2001,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4749.0
2002,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4821.0
2003,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4950.0
2004,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4625.0
2005,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4601.3
2006,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4834.2
2007,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4859.4
2008,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4888.7
2009,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4787.6
2010,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4581.7
2011,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4631.7
2012,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4718.2
2013,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4743.5
2014,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4673.2
2015,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4727.8
2016,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4825.2
2017,Austria,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4944.1
2000,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,3172.0
2001,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,3207.0
2002,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,3309.0
2003,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,3471.0
2004,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4068.0
2005,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4067.0
2006,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4349.4
2007,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4432.2
2008,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4515.6
2009,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4485.5
2010,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4428.4
2011,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4401.8
2012,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4510.9
2013,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4544.5
2014,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4479.1
2015,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4584.2
2016,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4693.0
2017,Austria,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,4841.2
2000,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1129.0
2001,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1125.0
2002,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1115.0
2003,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1110.0
2004,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1116.0
2005,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1179.7
2006,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1258.5
2007,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1318.0
2008,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1476.0
2009,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1491.9
2010,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1272.2
2011,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1145.6
2012,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1168.0
2013,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1202.4
2014,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1231.0
2015,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1240.5
2016,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1253.8
2017,Austria,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1296.4
2000,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1493.0
2001,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1530.0
2002,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1630.0
2003,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1730.0
2004,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1572.0
2005,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1577.0
2006,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1661.4
2007,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1661.1
2008,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1682.6
2009,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1553.2
2010,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1520.0
2011,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1578.0
