Year,Country,Pollutant,Value
2002,Denmark,Non-methane Volatile Organic Compounds,155.696
2003,Denmark,Non-methane Volatile Organic Compounds,150.631
2004,Denmark,Non-methane Volatile Organic Compounds,147.254
2005,Denmark,Non-methane Volatile Organic Compounds,143.358
2006,Denmark,Non-methane Volatile Organic Compounds,139.604
2007,Denmark,Non-methane Volatile Organic Compounds,136.848
2008,Denmark,Non-methane Volatile Organic Compounds,132.569
2009,Denmark,Non-methane Volatile Organic Compounds,123.695
2010,Denmark,Non-methane Volatile Organic Compounds,121.443
2011,Denmark,Non-methane Volatile Organic Compounds,115.415
2012,Denmark,Non-methane Volatile Organic Compounds,111.627
2013,Denmark,Non-methane Volatile Organic Compounds,111.992
2014,Denmark,Non-methane Volatile Organic Compounds,103.738
2015,Denmark,Non-methane Volatile Organic Compounds,106.613
2016,Denmark,Non-methane Volatile Organic Compounds,103.072
2017,Denmark,Non-methane Volatile Organic Compounds,102.176
2000,Finland,Sulphur Oxides,81.002
2001,Finland,Sulphur Oxides,90.329
2002,Finland,Sulphur Oxides,89.409
2003,Finland,Sulphur Oxides,102.453
2004,Finland,Sulphur Oxides,84.559
2005,Finland,Sulphur Oxides,69.099
2006,Finland,Sulphur Oxides,84.038
2007,Finland,Sulphur Oxides,82.757
2008,Finland,Sulphur Oxides,67.7
2009,Finland,Sulphur Oxides,59.54
2010,Finland,Sulphur Oxides,67.131
2011,Finland,Sulphur Oxides,60.404
2012,Finland,Sulphur Oxides,50.955
2013,Finland,Sulphur Oxides,48.355
2014,Finland,Sulphur Oxides,43.228
2015,Finland,Sulphur Oxides,41.866
2016,Finland,Sulphur Oxides,39.795
2017,Finland,Sulphur Oxides,35.284
2000,Finland,Nitrogen Oxides,235.609
2001,Finland,Nitrogen Oxides,238.84
2002,Finland,Nitrogen Oxides,235.416
2003,Finland,Nitrogen Oxides,243.451
2004,Finland,Nitrogen Oxides,229.833
2005,Finland,Nitrogen Oxides,200.859
2006,Finland,Nitrogen Oxides,216.934
2007,Finland,Nitrogen Oxides,205.446
2008,Finland,Nitrogen Oxides,188.702
2009,Finland,Nitrogen Oxides,171.892
2010,Finland,Nitrogen Oxides,180.894
2011,Finland,Nitrogen Oxides,164.926
2012,Finland,Nitrogen Oxides,156.023
2013,Finland,Nitrogen Oxides,152.224
2014,Finland,Nitrogen Oxides,144.414
2015,Finland,Nitrogen Oxides,133.378
2016,Finland,Nitrogen Oxides,128.925
2017,Finland,Nitrogen Oxides,124.907
2000,Finland,Particulates (PM10),40.17
2001,Finland,Particulates (PM10),41.183
2002,Finland,Particulates (PM10),41.737
2003,Finland,Particulates (PM10),42.634
2004,Finland,Particulates (PM10),41.608
2005,Finland,Particulates (PM10),39.256
2006,Finland,Particulates (PM10),40.795
2007,Finland,Particulates (PM10),38.316
2008,Finland,Particulates (PM10),36.738
2009,Finland,Particulates (PM10),35.6
2010,Finland,Particulates (PM10),37.636
2011,Finland,Particulates (PM10),34.641
2012,Finland,Particulates (PM10),33.232
2013,Finland,Particulates (PM10),31.97
2014,Finland,Particulates (PM10),31.453
2015,Finland,Particulates (PM10),29.403
2016,Finland,Particulates (PM10),30.397
2017,Finland,Particulates (PM10),29.178
2000,Finland,Particulates (PM2.5),25.96
2001,Finland,Particulates (PM2.5),26.612
2002,Finland,Particulates (PM2.5),26.923
2003,Finland,Particulates (PM2.5),27.079
2004,Finland,Particulates (PM2.5),26.439
2005,Finland,Particulates (PM2.5),25.177
2006,Finland,Particulates (PM2.5),25.49
2007,Finland,Particulates (PM2.5),24.016
2008,Finland,Particulates (PM2.5),23.165
2009,Finland,Particulates (PM2.5),22.394
2010,Finland,Particulates (PM2.5),23.858
2011,Finland,Particulates (PM2.5),21.041
2012,Finland,Particulates (PM2.5),20.688
2013,Finland,Particulates (PM2.5),19.694
2014,Finland,Particulates (PM2.5),19.376
2015,Finland,Particulates (PM2.5),17.761
2016,Finland,Particulates (PM2.5),18.393
2017,Finland,Particulates (PM2.5),17.799
2000,Finland,Carbon Monoxide,545.287
2001,Finland,Carbon Monoxide,545.12
2002,Finland,Carbon Monoxide,530.99
2003,Finland,Carbon Monoxide,510.772
2004,Finland,Carbon Monoxide,492.434
2005,Finland,Carbon Monoxide,465.752
2006,Finland,Carbon Monoxide,454.661
2007,Finland,Carbon Monoxide,437.077
2008,Finland,Carbon Monoxide,414.967
2009,Finland,Carbon Monoxide,394.881
2010,Finland,Carbon Monoxide,406.275
2011,Finland,Carbon Monoxide,368.838
2012,Finland,Carbon Monoxide,364.883
2013,Finland,Carbon Monoxide,350.923
2014,Finland,Carbon Monoxide,345.303
2015,Finland,Carbon Monoxide,328.708
2016,Finland,Carbon Monoxide,334.943
2017,Finland,Carbon Monoxide,326.117
2000,Finland,Non-methane Volatile Organic Compounds,187.2
2001,Finland,Non-methane Volatile Organic Compounds,186.21
2002,Finland,Non-methane Volatile Organic Compounds,179.081
2003,Finland,Non-methane Volatile Organic Compounds,173.561
2004,Finland,Non-methane Volatile Organic Compounds,170.166
2005,Finland,Non-methane Volatile Organic Compounds,157.021
2006,Finland,Non-methane Volatile Organic Compounds,152.84
2007,Finland,Non-methane Volatile Organic Compounds,148.007
2008,Finland,Non-methane Volatile Organic Compounds,134.698
2009,Finland,Non-methane Volatile Organic Compounds,125.861
2010,Finland,Non-methane Volatile Organic Compounds,128.354
2011,Finland,Non-methane Volatile Organic Compounds,116.725
2012,Finland,Non-methane Volatile Organic Compounds,115.237
2013,Finland,Non-methane Volatile Organic Compounds,109.805
2014,Finland,Non-methane Volatile Organic Compounds,107.551
2015,Finland,Non-methane Volatile Organic Compounds,101.72
2016,Finland,Non-methane Volatile Organic Compounds,102.933
2017,Finland,Non-methane Volatile Organic Compounds,100.917
2000,France,Sulphur Oxides,626.499
2001,France,Sulphur Oxides,565.867
2002,France,Sulphur Oxides,524.879
2003,France,Sulphur Oxides,499.386
2004,France,Sulphur Oxides,481.448
2005,France,Sulphur Oxides,460.548
2006,France,Sulphur Oxides,430.985
2007,France,Sulphur Oxides,414.412
2008,France,Sulphur Oxides,352.914
2009,France,Sulphur Oxides,297.531
2010,France,Sulphur Oxides,278.427
2011,France,Sulphur Oxides,254.038
2012,France,Sulphur Oxides,236.63
2013,France,Sulphur Oxides,213.519
2014,France,Sulphur Oxides,173.227
2015,France,Sulphur Oxides,163.283
2016,France,Sulphur Oxides,144.319
2017,France,Sulphur Oxides,144.168
2000,France,Nitrogen Oxides,1619.606
2001,France,Nitrogen Oxides,1582.651
2002,France,Nitrogen Oxides,1545.867
2003,France,Nitrogen Oxides,1500.869
2004,France,Nitrogen Oxides,1464.49
2005,France,Nitrogen Oxides,1418.6
2006,France,Nitrogen Oxides,1334.438
2007,France,Nitrogen Oxides,1272.448
2008,France,Nitrogen Oxides,1176.082
2009,France,Nitrogen Oxides,1093.515
2010,France,Nitrogen Oxides,1075.459
2011,France,Nitrogen Oxides,1017.653
2012,France,Nitrogen Oxides,989.276
2013,France,Nitrogen Oxides,978.221
2014,France,Nitrogen Oxides,906.473
2015,France,Nitrogen Oxides,881.429
2016,France,Nitrogen Oxides,840.172
2017,France,Nitrogen Oxides,804.792
2000,France,Particulates (PM10),438.218
2001,France,Particulates (PM10),424.638
2002,France,Particulates (PM10),399.796
2003,France,Particulates (PM10),400.399
2004,France,Particulates (PM10),386.529
2005,France,Particulates (PM10),360.796
2006,France,Particulates (PM10),334.34
2007,France,Particulates (PM10),319.349
2008,France,Particulates (PM10),311.395
2009,France,Particulates (PM10),295.979
2010,France,Particulates (PM10),306.277
2011,France,Particulates (PM10),280.609
2012,France,Particulates (PM10),283.717
2013,France,Particulates (PM10),284.437
2014,France,Particulates (PM10),256.152
2015,France,Particulates (PM10),258.356
2016,France,Particulates (PM10),258.468
2017,France,Particulates (PM10),254.269
2000,France,Particulates (PM2.5),327.976
2001,France,Particulates (PM2.5),316.614
2002,France,Particulates (PM2.5),294.59
2003,France,Particulates (PM2.5),293.907
2004,France,Particulates (PM2.5),280.457
2005,France,Particulates (PM2.5),259.846
2006,France,Particulates (PM2.5),235.021
2007,France,Particulates (PM2.5),222.371
2008,France,Particulates (PM2.5),216.457
2009,France,Particulates (PM2.5),206.439
2010,France,Particulates (PM2.5),215.117
2011,France,Particulates (PM2.5),188.9
2012,France,Particulates (PM2.5),192.477
2013,France,Particulates (PM2.5),193.829
2014,France,Particulates (PM2.5),168.387
2015,France,Particulates (PM2.5),169.982
2016,France,Particulates (PM2.5),170.383
2017,France,Particulates (PM2.5),164.531
2000,France,Carbon Monoxide,6501.545
2001,France,Carbon Monoxide,6141.225
2002,France,Carbon Monoxide,5921.653
2003,France,Carbon Monoxide,5630.348
2004,France,Carbon Monoxide,5731.04
2005,France,Carbon Monoxide,5235.573
2006,France,Carbon Monoxide,4656.761
2007,France,Carbon Monoxide,4491.071
2008,France,Carbon Monoxide,4276.554
2009,France,Carbon Monoxide,3811.713
2010,France,Carbon Monoxide,4206.152
2011,France,Carbon Monoxide,3530.502
2012,France,Carbon Monoxide,3189.599
2013,France,Carbon Monoxide,3253.64
2014,France,Carbon Monoxide,2726.582
2015,France,Carbon Monoxide,2683.175
2016,France,Carbon Monoxide,2733.047
2017,France,Carbon Monoxide,2689.949
2000,France,Non-methane Volatile Organic Compounds,1642.799
2001,France,Non-methane Volatile Organic Compounds,1556.388
2002,France,Non-methane Volatile Organic Compounds,1431.759
2003,France,Non-methane Volatile Organic Compounds,1355.076
2004,France,Non-methane Volatile Organic Compounds,1267.609
2005,France,Non-methane Volatile Organic Compounds,1174.776
2006,France,Non-methane Volatile Organic Compounds,1064.589
2007,France,Non-methane Volatile Organic Compounds,965.185
2008,France,Non-methane Volatile Organic Compounds,890.726
2009,France,Non-methane Volatile Organic Compounds,800.6
2010,France,Non-methane Volatile Organic Compounds,816.119
2011,France,Non-methane Volatile Organic Compounds,735.641
2012,France,Non-methane Volatile Organic Compounds,699.137
2013,France,Non-methane Volatile Organic Compounds,684.919
2014,France,Non-methane Volatile Organic Compounds,660.494
2015,France,Non-methane Volatile Organic Compounds,631.675
2016,France,Non-methane Volatile Organic Compounds,619.016
2017,France,Non-methane Volatile Organic Compounds,611.489
2000,Germany,Sulphur Oxides,645.89
2001,Germany,Sulphur Oxides,624.629
2002,Germany,Sulphur Oxides,561.201
2003,Germany,Sulphur Oxides,534.286
2004,Germany,Sulphur Oxides,492.465
2005,Germany,Sulphur Oxides,471.784
2006,Germany,Sulphur Oxides,471.798
2007,Germany,Sulphur Oxides,455.475
2008,Germany,Sulphur Oxides,451.017
2009,Germany,Sulphur Oxides,394.662
2010,Germany,Sulphur Oxides,409.163
2011,Germany,Sulphur Oxides,395.453
2012,Germany,Sulphur Oxides,375.386
2013,Germany,Sulphur Oxides,365.662
2014,Germany,Sulphur Oxides,345.623
2015,Germany,Sulphur Oxides,343.139
2016,Germany,Sulphur Oxides,319.46
2017,Germany,Sulphur Oxides,315.428
2000,Germany,Nitrogen Oxides,1946.978
2001,Germany,Nitrogen Oxides,1869.318
2002,Germany,Nitrogen Oxides,1793.581
2003,Germany,Nitrogen Oxides,1736.951
2004,Germany,Nitrogen Oxides,1658.478
2005,Germany,Nitrogen Oxides,1583.865
2006,Germany,Nitrogen Oxides,1573.25
2007,Germany,Nitrogen Oxides,1503.64
2008,Germany,Nitrogen Oxides,1428.586
2009,Germany,Nitrogen Oxides,1330.579
2010,Germany,Nitrogen Oxides,1355.209
2011,Germany,Nitrogen Oxides,1338.304
2012,Germany,Nitrogen Oxides,1305.106
2013,Germany,Nitrogen Oxides,1306.798
2014,Germany,Nitrogen Oxides,1270.846
2015,Germany,Nitrogen Oxides,1247.202
2016,Germany,Nitrogen Oxides,1221.375
2017,Germany,Nitrogen Oxides,1184.388
2000,Germany,Particulates (PM10),293.839
2001,Germany,Particulates (PM10),279.261
2002,Germany,Particulates (PM10),273.418
2003,Germany,Particulates (PM10),262.793
2004,Germany,Particulates (PM10),256.973
2005,Germany,Particulates (PM10),246.351
2006,Germany,Particulates (PM10),243.168
2007,Germany,Particulates (PM10),234.112
2008,Germany,Particulates (PM10),228.232
2009,Germany,Particulates (PM10),215.437
2010,Germany,Particulates (PM10),229.196
2011,Germany,Particulates (PM10),227.967
2012,Germany,Particulates (PM10),219.86
2013,Germany,Particulates (PM10),221.676
2014,Germany,Particulates (PM10),217.193
2015,Germany,Particulates (PM10),214.465
2016,Germany,Particulates (PM10),203.27
2017,Germany,Particulates (PM10),206.012
2000,Germany,Particulates (PM2.5),167.524
2001,Germany,Particulates (PM2.5),162.005
2002,Germany,Particulates (PM2.5),155.416
2003,Germany,Particulates (PM2.5),150.696
2004,Germany,Particulates (PM2.5),146.248
2005,Germany,Particulates (PM2.5),138.941
2006,Germany,Particulates (PM2.5),134.782
2007,Germany,Particulates (PM2.5),129.008
2008,Germany,Particulates (PM2.5),122.26
2009,Germany,Particulates (PM2.5),114.926
2010,Germany,Particulates (PM2.5),122.376
2011,Germany,Particulates (PM2.5),117.224
2012,Germany,Particulates (PM2.5),110.28
2013,Germany,Particulates (PM2.5),109.13
2014,Germany,Particulates (PM2.5),104.404
2015,Germany,Particulates (PM2.5),103.61
2016,Germany,Particulates (PM2.5),100.757
2017,Germany,Particulates (PM2.5),99.082
2000,Germany,Carbon Monoxide,4830.899
2001,Germany,Carbon Monoxide,4655.124
2002,Germany,Carbon Monoxide,4379.838
2003,Germany,Carbon Monoxide,4199.604
2004,Germany,Carbon Monoxide,3961.349
2005,Germany,Carbon Monoxide,3753.185
2006,Germany,Carbon Monoxide,3656.683
2007,Germany,Carbon Monoxide,3540.351
2008,Germany,Carbon Monoxide,3430.937
2009,Germany,Carbon Monoxide,2980.514
2010,Germany,Carbon Monoxide,3346.693
2011,Germany,Carbon Monoxide,3259.001
2012,Germany,Carbon Monoxide,2887.227
2013,Germany,Carbon Monoxide,2858.665
2014,Germany,Carbon Monoxide,2757.421
2015,Germany,Carbon Monoxide,2864.302
2016,Germany,Carbon Monoxide,2801.678
2017,Germany,Carbon Monoxide,2828.186
2000,Germany,Non-methane Volatile Organic Compounds,1637.77
2001,Germany,Non-methane Volatile Organic Compounds,1533.468
2002,Germany,Non-methane Volatile Organic Compounds,1466.449
2003,Germany,Non-methane Volatile Organic Compounds,1394.503
2004,Germany,Non-methane Volatile Organic Compounds,1402.023
2005,Germany,Non-methane Volatile Organic Compounds,1348.956
2006,Germany,Non-methane Volatile Organic Compounds,1368.96
2007,Germany,Non-methane Volatile Organic Compounds,1301.429
2008,Germany,Non-methane Volatile Organic Compounds,1241.82
2009,Germany,Non-methane Volatile Organic Compounds,1136.091
2010,Germany,Non-methane Volatile Organic Compounds,1257.136
2011,Germany,Non-methane Volatile Organic Compounds,1147.264
2012,Germany,Non-methane Volatile Organic Compounds,1146.069
2013,Germany,Non-methane Volatile Organic Compounds,1102.053
2014,Germany,Non-methane Volatile Organic Compounds,1068.351
2015,Germany,Non-methane Volatile Organic Compounds,1041.583
2016,Germany,Non-methane Volatile Organic Compounds,1042.817
2017,Germany,Non-methane Volatile Organic Compounds,1068.396
2000,Greece,Sulphur Oxides,531.566
2001,Greece,Sulphur Oxides,536.686
2002,Greece,Sulphur Oxides,525.021
2003,Greece,Sulphur Oxides,532.233
2004,Greece,Sulphur Oxides,528.411
2005,Greece,Sulphur Oxides,549.367
2006,Greece,Sulphur Oxides,504.889
2007,Greece,Sulphur Oxides,490.622
2008,Greece,Sulphur Oxides,423.166
2009,Greece,Sulphur Oxides,352.298
2010,Greece,Sulphur Oxides,205.021
2011,Greece,Sulphur Oxides,146.217
2012,Greece,Sulphur Oxides,119.856
2013,Greece,Sulphur Oxides,105.682
2014,Greece,Sulphur Oxides,89.128
2015,Greece,Sulphur Oxides,83.634
2016,Greece,Sulphur Oxides,60.508
2017,Greece,Sulphur Oxides,69.136
2000,Greece,Nitrogen Oxides,429.613
2001,Greece,Nitrogen Oxides,456.854
2002,Greece,Nitrogen Oxides,450.86
2003,Greece,Nitrogen Oxides,460.654
2004,Greece,Nitrogen Oxides,465.226
2005,Greece,Nitrogen Oxides,482.817
2006,Greece,Nitrogen Oxides,486.195
2007,Greece,Nitrogen Oxides,483.865
2008,Greece,Nitrogen Oxides,456.858
2009,Greece,Nitrogen Oxides,440.84
2010,Greece,Nitrogen Oxides,365.511
2011,Greece,Nitrogen Oxides,327.481
2012,Greece,Nitrogen Oxides,287.674
2013,Greece,Nitrogen Oxides,273.561
2014,Greece,Nitrogen Oxides,269.402
2015,Greece,Nitrogen Oxides,264.389
2016,Greece,Nitrogen Oxides,264.175
2017,Greece,Nitrogen Oxides,269.762
2000,Greece,Particulates (PM10),110.622
2001,Greece,Particulates (PM10),114.931
2002,Greece,Particulates (PM10),113.505
2003,Greece,Particulates (PM10),108.353
2004,Greece,Particulates (PM10),114.648
2005,Greece,Particulates (PM10),104.363
2006,Greece,Particulates (PM10),108.812
2007,Greece,Particulates (PM10),102.742
2008,Greece,Particulates (PM10),114.415
2009,Greece,Particulates (PM10),106.795
2010,Greece,Particulates (PM10),82.014
2011,Greece,Particulates (PM10),64.579
2012,Greece,Particulates (PM10),60.141
2013,Greece,Particulates (PM10),57.12
2014,Greece,Particulates (PM10),59.327
2015,Greece,Particulates (PM10),54.276
2016,Greece,Particulates (PM10),55.655
2017,Greece,Particulates (PM10),54.602
2000,Greece,Particulates (PM2.5),49.381
2001,Greece,Particulates (PM2.5),52.509
2002,Greece,Particulates (PM2.5),48.711
2003,Greece,Particulates (PM2.5),47.772
2004,Greece,Particulates (PM2.5),49.759
2005,Greece,Particulates (PM2.5),47.651
2006,Greece,Particulates (PM2.5),48.289
2007,Greece,Particulates (PM2.5),46.643
2008,Greece,Particulates (PM2.5),48.097
2009,Greece,Particulates (PM2.5),48.007
2010,Greece,Particulates (PM2.5),38.967
2011,Greece,Particulates (PM2.5),34.244
2012,Greece,Particulates (PM2.5),33.375
2013,Greece,Particulates (PM2.5),29.442
2014,Greece,Particulates (PM2.5),29.049
2015,Greece,Particulates (PM2.5),27.476
2016,Greece,Particulates (PM2.5),26.179
2017,Greece,Particulates (PM2.5),27.211
2000,Greece,Carbon Monoxide,878.802
2001,Greece,Carbon Monoxide,878.298
2002,Greece,Carbon Monoxide,816.803
2003,Greece,Carbon Monoxide,779.044
2004,Greece,Carbon Monoxide,772.743
2005,Greece,Carbon Monoxide,717.751
2006,Greece,Carbon Monoxide,739.132
2007,Greece,Carbon Monoxide,673.391
2008,Greece,Carbon Monoxide,630.583
2009,Greece,Carbon Monoxide,575.872
2010,Greece,Carbon Monoxide,521.983
2011,Greece,Carbon Monoxide,477.426
2012,Greece,Carbon Monoxide,504.007
2013,Greece,Carbon Monoxide,417.793
2014,Greece,Carbon Monoxide,417.175
2015,Greece,Carbon Monoxide,396.888
2016,Greece,Carbon Monoxide,352.021
2017,Greece,Carbon Monoxide,366.497
2000,Greece,Non-methane Volatile Organic Compounds,302.068
2001,Greece,Non-methane Volatile Organic Compounds,299.16
2002,Greece,Non-methane Volatile Organic Compounds,310.626
2003,Greece,Non-methane Volatile Organic Compounds,322.074
2004,Greece,Non-methane Volatile Organic Compounds,333.981
2005,Greece,Non-methane Volatile Organic Compounds,325.743
2006,Greece,Non-methane Volatile Organic Compounds,303.266
2007,Greece,Non-methane Volatile Organic Compounds,279.685
2008,Greece,Non-methane Volatile Organic Compounds,257.53
2009,Greece,Non-methane Volatile Organic Compounds,249.103
2010,Greece,Non-methane Volatile Organic Compounds,218.676
2011,Greece,Non-methane Volatile Organic Compounds,200.218
2012,Greece,Non-methane Volatile Organic Compounds,190.829
2013,Greece,Non-methane Volatile Organic Compounds,173.751
2014,Greece,Non-methane Volatile Organic Compounds,168.966
2015,Greece,Non-methane Volatile Organic Compounds,162.266
2016,Greece,Non-methane Volatile Organic Compounds,154.931
2017,Greece,Non-methane Volatile Organic Compounds,152.03
2000,Hungary,Sulphur Oxides,427.192
2001,Hungary,Sulphur Oxides,346.286
2002,Hungary,Sulphur Oxides,272.368
2003,Hungary,Sulphur Oxides,246.021
2004,Hungary,Sulphur Oxides,151.475
2005,Hungary,Sulphur Oxides,42.981
2006,Hungary,Sulphur Oxides,39.203
2007,Hungary,Sulphur Oxides,36.282
2008,Hungary,Sulphur Oxides,35.875
2009,Hungary,Sulphur Oxides,29.768
2010,Hungary,Sulphur Oxides,30.473
2011,Hungary,Sulphur Oxides,34.307
2012,Hungary,Sulphur Oxides,30.546
2013,Hungary,Sulphur Oxides,29.393
2014,Hungary,Sulphur Oxides,26.018
2015,Hungary,Sulphur Oxides,24.296
2016,Hungary,Sulphur Oxides,22.985
2017,Hungary,Sulphur Oxides,27.693
2000,Hungary,Nitrogen Oxides,184.916
2001,Hungary,Nitrogen Oxides,184.92
2002,Hungary,Nitrogen Oxides,177.213
2003,Hungary,Nitrogen Oxides,180.79
2004,Hungary,Nitrogen Oxides,178.65
2005,Hungary,Nitrogen Oxides,175.867
2006,Hungary,Nitrogen Oxides,168.156
2007,Hungary,Nitrogen Oxides,164.213
2008,Hungary,Nitrogen Oxides,158.577
2009,Hungary,Nitrogen Oxides,147.542
2010,Hungary,Nitrogen Oxides,144.442
2011,Hungary,Nitrogen Oxides,134.628
2012,Hungary,Nitrogen Oxides,126.732
2013,Hungary,Nitrogen Oxides,124.298
2014,Hungary,Nitrogen Oxides,122.137
2015,Hungary,Nitrogen Oxides,123.954
2016,Hungary,Nitrogen Oxides,116.407
2017,Hungary,Nitrogen Oxides,118.753
2000,Hungary,Particulates (PM10),72.346
2001,Hungary,Particulates (PM10),78.686
2002,Hungary,Particulates (PM10),60.684
2003,Hungary,Particulates (PM10),72.765
2004,Hungary,Particulates (PM10),74.648
2005,Hungary,Particulates (PM10),72.277
2006,Hungary,Particulates (PM10),63.736
2007,Hungary,Particulates (PM10),61.818
2008,Hungary,Particulates (PM10),64.617
2009,Hungary,Particulates (PM10),76.166
2010,Hungary,Particulates (PM10),71.622
2011,Hungary,Particulates (PM10),74.463
2012,Hungary,Particulates (PM10),73.215
2013,Hungary,Particulates (PM10),77.644
2014,Hungary,Particulates (PM10),72.639
2015,Hungary,Particulates (PM10),73.572
2016,Hungary,Particulates (PM10),70.518
2017,Hungary,Particulates (PM10),68.862
2000,Hungary,Particulates (PM2.5),48.202
2001,Hungary,Particulates (PM2.5),52.01
2002,Hungary,Particulates (PM2.5),36.993
2003,Hungary,Particulates (PM2.5),46.154
2004,Hungary,Particulates (PM2.5),42.624
2005,Hungary,Particulates (PM2.5),40.078
2006,Hungary,Particulates (PM2.5),40.219
2007,Hungary,Particulates (PM2.5),40.121
2008,Hungary,Particulates (PM2.5),36.109
2009,Hungary,Particulates (PM2.5),46.726
2010,Hungary,Particulates (PM2.5),49.423
2011,Hungary,Particulates (PM2.5),55.23
2012,Hungary,Particulates (PM2.5),57.846
2013,Hungary,Particulates (PM2.5),58.584
2014,Hungary,Particulates (PM2.5),49.452
2015,Hungary,Particulates (PM2.5),51.675
2016,Hungary,Particulates (PM2.5),49.87
2017,Hungary,Particulates (PM2.5),47.984
2000,Hungary,Carbon Monoxide,829.458
2001,Hungary,Carbon Monoxide,839.001
2002,Hungary,Carbon Monoxide,691.076
2003,Hungary,Carbon Monoxide,816.641
2004,Hungary,Carbon Monoxide,749.819
2005,Hungary,Carbon Monoxide,681.731
2006,Hungary,Carbon Monoxide,581.683
2007,Hungary,Carbon Monoxide,539.222
2008,Hungary,Carbon Monoxide,480.371
2009,Hungary,Carbon Monoxide,521.197
2010,Hungary,Carbon Monoxide,523.145
2011,Hungary,Carbon Monoxide,530.088
2012,Hungary,Carbon Monoxide,545.515
2013,Hungary,Carbon Monoxide,537.817
2014,Hungary,Carbon Monoxide,460.125
2015,Hungary,Carbon Monoxide,444.916
2016,Hungary,Carbon Monoxide,436.43
2017,Hungary,Carbon Monoxide,422.376
2000,Hungary,Non-methane Volatile Organic Compounds,197.057
2001,Hungary,Non-methane Volatile Organic Compounds,198.818
2002,Hungary,Non-methane Volatile Organic Compounds,184.764
2003,Hungary,Non-methane Volatile Organic Compounds,188.377
2004,Hungary,Non-methane Volatile Organic Compounds,181.701
2005,Hungary,Non-methane Volatile Organic Compounds,171.496
2006,Hungary,Non-methane Volatile Organic Compounds,158.792
2007,Hungary,Non-methane Volatile Organic Compounds,155.211
2008,Hungary,Non-methane Volatile Organic Compounds,149.631
2009,Hungary,Non-methane Volatile Organic Compounds,149.953
2010,Hungary,Non-methane Volatile Organic Compounds,146.034
2011,Hungary,Non-methane Volatile Organic Compounds,150.236
2012,Hungary,Non-methane Volatile Organic Compounds,151.939
2013,Hungary,Non-methane Volatile Organic Compounds,151.155
2014,Hungary,Non-methane Volatile Organic Compounds,141.288
2015,Hungary,Non-methane Volatile Organic Compounds,144.098
2016,Hungary,Non-methane Volatile Organic Compounds,141.983
2017,Hungary,Non-methane Volatile Organic Compounds,141.473
2000,Iceland,Sulphur Oxides,38.765
2001,Iceland,Sulphur Oxides,41.713
2002,Iceland,Sulphur Oxides,44.931
2003,Iceland,Sulphur Oxides,41.468
2004,Iceland,Sulphur Oxides,36.542
2005,Iceland,Sulphur Oxides,42.53
2006,Iceland,Sulphur Oxides,42.39
2007,Iceland,Sulphur Oxides,60.653
2008,Iceland,Sulphur Oxides,78.117
2009,Iceland,Sulphur Oxides,72.563
2010,Iceland,Sulphur Oxides,77.132
2011,Iceland,Sulphur Oxides,83.714
2012,Iceland,Sulphur Oxides,86.471
2013,Iceland,Sulphur Oxides,72.141
2014,Iceland,Sulphur Oxides,66.307
2015,Iceland,Sulphur Oxides,60.585
2016,Iceland,Sulphur Oxides,51.635
2017,Iceland,Sulphur Oxides,49.724
2000,Iceland,Nitrogen Oxides,33.153
2001,Iceland,Nitrogen Oxides,29.594
2002,Iceland,Nitrogen Oxides,31.733
2003,Iceland,Nitrogen Oxides,31.113
2004,Iceland,Nitrogen Oxides,32.061
2005,Iceland,Nitrogen Oxides,28.608
2006,Iceland,Nitrogen Oxides,28.275
2007,Iceland,Nitrogen Oxides,30.922
2008,Iceland,Nitrogen Oxides,28.474
2009,Iceland,Nitrogen Oxides,28.288
2010,Iceland,Nitrogen Oxides,26.704
2011,Iceland,Nitrogen Oxides,24.178
2012,Iceland,Nitrogen Oxides,24.111
2013,Iceland,Nitrogen Oxides,23.228
2014,Iceland,Nitrogen Oxides,23.077
2015,Iceland,Nitrogen Oxides,23.61
2016,Iceland,Nitrogen Oxides,21.541
2017,Iceland,Nitrogen Oxides,21.967
2000,Iceland,Particulates (PM10),1.66
2001,Iceland,Particulates (PM10),1.667
2002,Iceland,Particulates (PM10),1.561
2003,Iceland,Particulates (PM10),1.644
2004,Iceland,Particulates (PM10),1.888
2005,Iceland,Particulates (PM10),1.838
2006,Iceland,Particulates (PM10),2.262
2007,Iceland,Particulates (PM10),2.523
2008,Iceland,Particulates (PM10),2.406
2009,Iceland,Particulates (PM10),2.149
2010,Iceland,Particulates (PM10),2.015
2011,Iceland,Particulates (PM10),1.813
2012,Iceland,Particulates (PM10),1.994
2013,Iceland,Particulates (PM10),1.862
2014,Iceland,Particulates (PM10),1.889
2015,Iceland,Particulates (PM10),1.871
2016,Iceland,Particulates (PM10),1.713
2017,Iceland,Particulates (PM10),1.679
2000,Iceland,Particulates (PM2.5),1.357
2001,Iceland,Particulates (PM2.5),1.362
2002,Iceland,Particulates (PM2.5),1.265
2003,Iceland,Particulates (PM2.5),1.323
2004,Iceland,Particulates (PM2.5),1.506
2005,Iceland,Particulates (PM2.5),1.456
2006,Iceland,Particulates (PM2.5),1.822
2007,Iceland,Particulates (PM2.5),1.98
2008,Iceland,Particulates (PM2.5),1.92
2009,Iceland,Particulates (PM2.5),1.698
2010,Iceland,Particulates (PM2.5),1.584
2011,Iceland,Particulates (PM2.5),1.399
